real_gdp,real_gdp_growth,date
101,12.222222222222223,1815-06-30
108,6.930693069306937,1816-06-30
110,1.85185185185186,1817-06-30
125,13.636363636363647,1818-06-30
140,12.00000000000001,1819-06-30
152,8.571428571428562,1820-06-30
179,17.763157894736835,1821-06-30
211,17.87709497206704,1822-06-30
215,1.8957345971563955,1823-06-30
220,2.3255813953488413,1824-06-30
242,10.000000000000009,1825-06-30
256,5.785123966942152,1826-06-30
273,6.640625,1827-06-30
301,10.256410256410264,1828-06-30
336,11.627906976744185,1829-06-30
433,28.869047619047628,1830-06-30
529,22.170900692840647,1831-06-30
566,6.994328922495274,1832-06-30
602,6.360424028268552,1833-06-30
652,8.30564784053156,1834-06-30
794,21.779141104294485,1835-06-30
912,14.86146095717884,1836-06-30
957,4.9342105263157965,1837-06-30
1017,6.269592476489039,1838-06-30
1020,0.2949852507374562,1839-06-30
1203,17.94117647058824,1840-06-30
1332,10.723192019950133,1841-06-30
1220,-8.408408408408407,1842-06-30
1312,7.540983606557372,1843-06-30
1580,20.42682926829269,1844-06-30
1773,12.215189873417721,1845-06-30
1964,10.772701635645788,1846-06-30
2331,18.686354378818738,1847-06-30
2818,20.892320892320893,1848-06-30
3168,12.420156139105742,1849-06-30
3249,2.556818181818188,1850-06-30
3662,12.711603570329322,1851-06-30
4762,30.038230475150197,1852-06-30
6073,27.53044939101219,1853-06-30
6634,9.237609089412157,1854-06-30
6732,1.4772384684956341,1855-06-30
8059,19.711824123588826,1856-06-30
9012,11.825288497332176,1857-06-30
8413,-6.646693297825124,1858-06-30
9398,11.708070842743368,1859-06-30
10852,15.471376888699728,1860-06-30
10989,1.2624401032067745,1861-06-30
10946,-0.3913003913003865,1862-06-30
11028,0.749132103051342,1863-06-30
11808,7.072905331882473,1864-06-30
12372,4.77642276422765,1865-06-30
12751,3.06336889751051,1866-06-30
13931,9.254176143047598,1867-06-30
15080,8.247792692556178,1868-06-30
15511,2.8580901856763985,1869-06-30
16147,4.100315904841723,1870-06-30
16403,1.585433826717031,1871-06-30
16968,3.4444918612448916,1872-06-30
18773,10.637670909948138,1873-06-30
20025,6.669152506258991,1874-06-30
21461,7.1710362047440634,1875-06-30
22538,5.018405479707377,1876-06-30
22959,1.8679563404028654,1877-06-30
24549,6.9253887364432165,1878-06-30
25872,5.389221556886237,1879-06-30
26734,3.3317872603586984,1880-06-30
28396,6.216802573501901,1881-06-30
28590,0.6831948161712953,1882-06-30
29821,4.305701294158792,1883-06-30
31945,7.122497568827346,1884-06-30
33084,3.565503208639842,1885-06-30
34325,3.7510579131906585,1886-06-30
36346,5.887836853605255,1887-06-30
38336,5.475155450393432,1888-06-30
40142,4.710976627712848,1889-06-30
41055,2.2744257884510066,1890-06-30
41865,1.9729630982827873,1891-06-30
40726,-2.720649707392808,1892-06-30
37023,-9.092471639738742,1893-06-30
36633,-1.0533992383113255,1894-06-30
36202,-1.176534818333197,1895-06-30
36469,0.7375283133528532,1896-06-30
36787,0.8719734569086146,1897-06-30
38521,4.713621659825473,1898-06-30
41290,7.188286908439556,1899-06-30
42604,3.1823686122547823,1900-06-30
41889,-1.6782461740681653,1901-06-30
46132,10.129150851058743,1902-06-30
43113,-6.544264285094947,1903-06-30
48047,11.44434393338436,1904-06-30
47235,-1.6900118633837669,1905-06-30
49376,4.53265586958822,1906-06-30
56331,14.085790667530773,1907-06-30
52023,-7.647654044842089,1908-06-30
54044,3.884820175691517,1909-06-30
57143,5.734216564280947,1910-06-30
62302,9.028227429431436,1911-06-30
61385,-1.471862861545381,1912-06-30
64145,4.496212429746671,1913-06-30
67174,4.722113960558105,1914-06-30
63808,-5.0108672998481545,1915-06-30
64764,1.498244734202614,1916-06-30
62920,-2.8472608239145214,1917-06-30
62354,-0.8995549904640798,1918-06-30
63445,1.749687269461453,1919-06-30
65909,3.8836787768933734,1920-06-30
68965,4.636696050615252,1921-06-30
72695,5.408540564054221,1922-06-30
76398,5.093885411651411,1923-06-30
79844,4.510589282441946,1924-06-30
86671,8.5504233254847,1925-06-30
87654,1.1341740605277373,1926-06-30
90845,3.6404499509434807,1927-06-30
90360,-0.5338763828499071,1928-06-30
91182,0.9096945551128721,1929-06-30
86631,-4.991116667763373,1930-06-30
74257,-14.28357054634023,1931-06-30
75846,2.139865601896118,1932-06-30
82753,9.106610763916368,1933-06-30
86859,4.961753652435563,1934-06-30
91734,5.612544468621561,1935-06-30
97362,6.135129831905295,1936-06-30
100270,2.986791561389457,1937-06-30
107352,7.062930088760355,1938-06-30
107312,-0.0372606006408871,1939-06-30
109386,1.9326822722528725,1940-06-30
117585,7.495474740826058,1941-06-30
134826,14.662584513330778,1942-06-30
146573,8.712711198136859,1943-06-30
144828,-1.1905330449673568,1944-06-30
136457,-5.77995967630569,1945-06-30
130820,-4.130971661402494,1946-06-30
126857,-3.0293533098914582,1947-06-30
137116,8.087058656597579,1948-06-30
143883,4.935237317307983,1949-06-30
155559,8.114926711286262,1950-06-30
164530,5.766943731960228,1951-06-30
169352,2.930772503494805,1952-06-30
168036,-0.7770796920024581,1953-06-30
178610,6.292699183508299,1954-06-30
189255,5.959912658865685,1955-06-30
198770,5.027608253414706,1956-06-30
202676,1.9650852744377945,1957-06-30
206997,2.1319741853993657,1958-06-30
222364,7.423779088585825,1959-06-30
66623,4.426401667737734,1960-09-01
66490,3.3111142186796005,1960-12-01
66690,3.1028245443161184,1961-03-01
65958,-0.7747506506401103,1961-06-01
65486,-1.7066178346817118,1961-09-01
66232,-0.3880282749285646,1961-12-01
68091,2.100764732343685,1962-03-01
69395,5.210891779617333,1962-06-01
69957,6.827413492960321,1962-09-01
71213,7.520533880903502,1962-12-01
72857,6.999456609537247,1963-03-01
71908,3.621298364435477,1963-06-01
74859,7.0071615420901345,1963-09-01
76463,7.3722494488365875,1963-12-01
76341,4.7819701607258125,1964-03-01
78225,8.784836179562783,1964-06-01
78710,5.144338022148309,1964-09-01
80948,5.865582046218432,1964-12-01
81627,6.924195386489562,1965-03-01
82907,5.9852988175135735,1965-06-01
82665,5.024774488629147,1965-09-01
82865,2.3681869842367975,1965-12-01
82626,1.223859752287848,1966-03-01
83758,1.0264513249785834,1966-06-01
86126,4.186777959233057,1966-09-01
